"model","site","meth","pos","AcSc","detR"
"m1","maisC","direct.ab","raw","ac1-sc1","all"
"m1","maisD","direct.ab","raw","ac1-sc1","all"
"m2","maisC","direct.ab","raw","ac1-sc1","CHOOSE"
"m2","maisD","direct.ab","raw","ac1-sc1","CHOOSE"
"m2","maisC","direct.in","raw","ac4-sc2",NA
"m2","maisD","direct.in","raw","ac4-sc2",NA
"m2","maisC","omni.ab","raw","ac1-sc1",NA
"m2","maisC","omni.ml","raw","ac2-sc2",NA
"m3","maisC","direct.ab","all","CHOOSE","CHOOSE"
"m3","maisD","direct.ab","all","CHOOSE","CHOOSE"
"m3","maisC","direct.in","all","CHOOSE",NA
"m3","maisD","direct.in","all","CHOOSE",NA
"m3","maisC","omni.ab","all","CHOOSE",NA
"m3","maisC","omni.ml","all","CHOOSE",NA
"m4","maisC","direct.ab","CHOOSE","CHOOSE","CHOOSE"
"m4","maisD","direct.ab","CHOOSE","CHOOSE","CHOOSE"
"m4","maisC","direct.in","CHOOSE","CHOOSE",NA
"m4","maisD","direct.in","CHOOSE","CHOOSE",NA
"m4","maisC","omni.ab","CHOOSE","CHOOSE",NA
"m4","maisC","omni.ml","CHOOSE","CHOOSE",NA
"m5","maisC","CHOOSE","CHOOSE","CHOOSE","CHOOSE"
"m5","maisD","CHOOSE","CHOOSE","CHOOSE","CHOOSE"
