station.id,analysis,station.hostname,station.name,station.project_id,station.lat,station.lon,station.type,station.wireguard_peer.id,station.wireguard_peer.address,station.shelter_id
c10l1,yes,eurofins-maisC-c10l1,c10l1,maisC,52.533128,14.448846,VHF Directional Station,peer38,172.16.0.39,
c11l1,no,eurofins-maisC-c11l1,c11l1,maisC,52.529426,14.4398,VHF Directional Station,peer46,172.16.0.47,
c12l1,no,eurofins-maisC-c12l1,c12l1,maisC,52.529833,14.441953,VHF Directional Station,peer47,172.16.0.48,
c13l1,no,eurofins-maisC-c13l1,c13l1,maisC,52.530928,14.448202,VHF Directional Station,peer49,172.16.0.50,
c14l1,no,eurofins-maisC-c14l1,c14l1,maisC,52.531319,14.450327,VHF Directional Station,peer48,172.16.0.49,
c15l1,no,eurofins-maisC-c15l1,c15l1,maisC,52.528164,14.442149,VHF Directional Station,peer57,172.16.0.58,
c16l1,no,eurofins-maisC-c16l1,c16l1,maisC,52.528647,14.444312,VHF Directional Station,peer50,172.16.0.51,
c17l1,no,eurofins-maisC-c17l1,c17l1,maisC,52.5291,14.44691,VHF Directional Station,peer51,172.16.0.52,
c18l1,no,eurofins-maisC-c18l1,c18l1,maisC,52.529657,14.449066,VHF Directional Station,peer53,172.16.0.54,
c19l1,no,eurofins-maisC-c19l1,c19l1,maisC,52.527836,14.440818,VHF Directional Station,peer52,172.16.0.53,
c1l1,yes,eurofins-maisC-c1l1,c1l1,maisC,52.532248,14.438952,VHF Directional Station,peer14,172.16.0.15,
c20l1,no,eurofins-maisC-c20l1,c20l1,maisC,52.527324,14.441267,VHF Directional Station,peer55,172.16.0.56,
c23l1,no,eurofins-maisC-c23l1,c23l1,maisC,52.532108,14.433857,VHF Directional Station,peer56,172.16.0.57,
c24l1,no,eurofins-maisC-c24l1,c24l1,maisC,52.53597,14.432879,VHF Directional Station,peer54,172.16.0.55,
c25l1,no,eurofins-maisC-c25l1,c25l1,maisC,52.537385,14.43565,VHF Directional Station,peer58,172.16.0.59,
c26l1,no,eurofins-maisC-c26l1,c26l1,maisC,52.530928,14.448202,VHF Directional Station,peer59,172.16.0.60,
c2l1,yes,eurofins-maisC-c2l1,c2l1,maisC,52.534004,14.440433,VHF Directional Station,peer12,172.16.0.13,
c3l1,yes,eurofins-maisC-c3l1,c3l1,maisC,52.532123,14.441919,VHF Directional Station,peer13,172.16.0.14,
c4l1,yes,eurofins-maisC-c4l1,c4l1,maisC,52.534875,14.443628,VHF Directional Station,peer15,172.16.0.16,
c5l1,yes,eurofins-maisC-c5l1,c5l1,maisC,52.532994,14.445279,VHF Directional Station,peer28,172.16.0.29,
c6l1,yes,eurofins-maisC-c6l1,c6l1,maisC,52.534643,14.446193,VHF Directional Station,peer21,172.16.0.22,
c7l1,yes,eurofins-maisC-c7l1,c7l1,maisC,52.532459,14.437053,VHF Directional Station,peer34,172.16.0.35,
c8l1,yes,eurofins-maisC-c8l1,c8l1,maisC,52.530962,14.438422,VHF Directional Station,peer32,172.16.0.33,
c9l1,yes,eurofins-maisC-c9l1,c9l1,maisC,52.535942,14.445047,VHF Directional Station,peer36,172.16.0.37,
d1l1,yes,eurofins-maisD-d1l1,d1l1,maisD,52.452567,14.358443,VHF Directional Station,peer22,172.16.0.23,
d2l1,yes,eurofins-maisD-d2l1,d2l1,maisD,52.451228,14.358408,VHF Directional Station,peer23,172.16.0.24,
d3l1,yes,eurofins-maisD-d3l1,d3l1,maisD,52.450047,14.357913,VHF Directional Station,peer24,172.16.0.25,
d4l1,yes,eurofins-maisD-d4l1,d4l1,maisD,52.449062,14.356511,VHF Directional Station,peer26,172.16.0.27,
d5l1,yes,eurofins-maisD-d5l1,d5l1,maisD,52.452163,14.362133,VHF Directional Station,peer27,172.16.0.28,
d6l1,yes,eurofins-maisD-d6l1,d6l1,maisD,52.449907,14.361022,VHF Directional Station,peer25,172.16.0.26,
d7l1,yes,eurofins-maisD-d7l1,d7l1,maisD,52.451113,14.364118,VHF Directional Station,peer29,172.16.0.30,
d8l1,yes,eurofins-maisD-d8l1,d8l1,maisD,52.449181,14.364863,VHF Directional Station,peer30,172.16.0.31,
m1l1,no,eurofins-melons-m1l1,m1l1,melons,41.501153,0.710451,VHF Directional Station,peer16,172.16.0.17,
m2l1,no,eurofins-melons-m2l1,m2l1,melons,41.503903,0.717275,VHF Directional Station,,,
m2l2,no,eurofins-melons-m2l2,m2l2,melons,41.497983,0.709823,VHF Directional Station,peer10,172.16.0.11,
m3l1,no,eurofins-melons-m3l1,m3l1,melons,41.500427,0.716618,VHF Directional Station,,,
m3l2,no,eurofins-melons-m3l2,m3l2,melons,41.499795,0.712145,VHF Directional Station,peer11,172.16.0.12,
m4l1,no,eurofins-melons-m4l1,m4l1,melons,41.496753,0.712917,VHF Directional Station,peer18,172.16.0.19,
m5l1,no,eurofins-melons-m5l1,m5l1,melons,41.498707,0.707065,VHF Directional Station,peer19,172.16.0.20,
s10l1,yes,eurofins-maisC-s10l1,s10l1,maisC,52.533176,14.448627,VHF Omnidirectional Station,peer39,172.16.0.40,
s1l1,yes,eurofins-maisC-s1l1,s1l1,maisC,52.531869,14.438458,VHF Omnidirectional Station,peer42,172.16.0.43,
s2l1,yes,eurofins-maisC-s2l1,s2l1,maisC,52.53399,14.439876,VHF Omnidirectional Station,peer43,172.16.0.44,
s3l1,yes,eurofins-maisC-s3l1,s3l1,maisC,52.532409,14.44187,VHF Omnidirectional Station,peer40,172.16.0.41,
s4l1,yes,eurofins-maisC-s4l1,s4l1,maisC,52.53533,14.443429,VHF Omnidirectional Station,peer44,172.16.0.45,
s5l1,yes,eurofins-maisC-s5l1,s5l1,maisC,52.532689,14.444923,VHF Omnidirectional Station,peer41,172.16.0.42,
s6l1,yes,eurofins-maisC-s6l1,s6l1,maisC,52.534548,14.446713,VHF Omnidirectional Station,peer45,172.16.0.46,
s7l1,yes,eurofins-maisC-s7l1,s7l1,maisC,52.532516,14.437263,VHF Omnidirectional Station,peer35,172.16.0.36,
s8l1,yes,eurofins-maisC-s8l1,s8l1,maisC,52.531096,14.43871,VHF Omnidirectional Station,peer33,172.16.0.34,
s9l1,yes,eurofins-maisC-s9l1,s9l1,maisC,52.535993,14.444812,VHF Omnidirectional Station,peer37,172.16.0.38,
